,Media Source,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
84,@BBCWorld,"RT @BBCMOTD: The scenes in Paris right now...
#FRABEL #worldcup https://t.co/hwnzzG44js",Tue Jul 10 21:28:53 +0000 2018,0,0,0,1,85
85,@BBCWorld,American celebrating wedding anniversary killed in Mexico City https://t.co/kTQqvMPMzo,Tue Jul 10 21:14:56 +0000 2018,-0.2023,0.243,0.296,0.461,86
86,@BBCWorld,US cannot reunite dozens of child migrants with their parents https://t.co/cNTxzEv0zr,Tue Jul 10 21:12:05 +0000 2018,0,0,0,1,87
87,@BBCWorld,Prince Harry and Meghan arrive in the Republic of Ireland https://t.co/gjRjoWzI9V,Tue Jul 10 20:07:37 +0000 2018,0,0,0,1,88
88,@BBCWorld,"RT @BBCSport: France have booked their place in the #WorldCup final, where they'll meet either Croatia or England.

#FRABEL report: https:/…",Tue Jul 10 20:00:02 +0000 2018,0,0,0,1,89
89,@BBCWorld,"RT @BBCSport: FT: #FRA 1-0 #BEL 

France are into their third #WorldCup final! 

Samuel Umtiti's 51st minute header gives Les Bleus victory…",Tue Jul 10 19:54:14 +0000 2018,0,0,0,1,90
90,@BBCWorld,Cave rescue: The divers who got the Thai boys out https://t.co/iVJlhirMXe,Tue Jul 10 19:53:56 +0000 2018,0.5106,0.248,0,0.752,91
91,@BBCWorld,US mum and daughter 'questioned over different surnames' https://t.co/qbOFzai5sA,Tue Jul 10 19:27:46 +0000 2018,-0.1027,0,0.149,0.851,92
92,@BBCWorld,"RT @BBCNews: By measuring stress and anxiety levels, this wristband could help people manage severe autism

https://t.co/qkrzW7TnSw https:/…",Tue Jul 10 19:25:42 +0000 2018,-0.5267,0.113,0.298,0.588,93
93,@BBCWorld,"RT @BBCSport: GOAL: #FRA 1-0 #BEL 

Samuel Umtiti with the header! The defender gets up above Fellaini from a corner.

📺 @BBCOne 
#FRABEL #…",Tue Jul 10 19:09:39 +0000 2018,0.1759,0.071,0,0.929,94
94,@BBCWorld,"No hopscotch, no hockey: Canada neighbourhood bans outside fun https://t.co/ZFvTItfrKs",Tue Jul 10 18:52:19 +0000 2018,-0.0258,0.224,0.299,0.476,95
95,@BBCWorld,"RT @BBCNewsbeat: Why WAS Elon Musk at the #ThaiCaveRescue? 🐗🇹🇭  

https://t.co/9HQn1XSkL0",Tue Jul 10 18:51:51 +0000 2018,0,0,0,1,96
96,@BBCWorld,"RT @BBCSport: HT: #FRA 0-0 #BEL 

Both sides have had chances, but there's no joy in the first half.

📺 @BBCOne 
#FRABEL #WorldCup 
https:/…",Tue Jul 10 18:47:06 +0000 2018,0.5859,0.217,0.092,0.691,97
97,@BBCWorld,California lawyer investigated for obscene slur on Democrat https://t.co/Euw0rd7M5j,Tue Jul 10 17:38:48 +0000 2018,-0.5859,0,0.322,0.678,98
98,@BBCWorld,Jailed ex-bank boss David Drumm given suspended sentence https://t.co/Vi0UxRkb9s,Tue Jul 10 16:53:04 +0000 2018,-0.7184,0.096,0.463,0.441,99
99,@BBCWorld,"RT @BBCNews: Theresa May: Donald Trump and I will ""be talking positively about how we can continue to work together"", after US President sa…",Tue Jul 10 16:52:40 +0000 2018,0.5267,0.134,0,0.866,100
